,hs,as,hst,ast,hf,af,hc,ac,hy,ay,b365h,b365d,b365a,hometeam_Arsenal,hometeam_Aston Villa,hometeam_Birmingham,hometeam_Blackburn,hometeam_Blackpool,hometeam_Bolton,hometeam_Bournemouth,hometeam_Brighton,hometeam_Burnley,hometeam_Cardiff,hometeam_Chelsea,hometeam_Crystal Palace,hometeam_Everton,hometeam_Fulham,hometeam_Huddersfield,hometeam_Hull,hometeam_Leeds,hometeam_Leicester,hometeam_Liverpool,hometeam_Man City,hometeam_Man United,hometeam_Middlesbrough,hometeam_Newcastle,hometeam_Norwich,hometeam_QPR,hometeam_Reading,hometeam_Sheffield United,hometeam_Southampton,hometeam_Stoke,hometeam_Sunderland,hometeam_Swansea,hometeam_Tottenham,hometeam_Watford,hometeam_West Brom,hometeam_West Ham,hometeam_Wigan,hometeam_Wolves,awayteam_Arsenal,awayteam_Aston Villa,awayteam_Birmingham,awayteam_Blackburn,awayteam_Blackpool,awayteam_Bolton,awayteam_Bournemouth,awayteam_Brighton,awayteam_Burnley,awayteam_Cardiff,awayteam_Chelsea,awayteam_Crystal Palace,awayteam_Everton,awayteam_Fulham,awayteam_Huddersfield,awayteam_Hull,awayteam_Leeds,awayteam_Leicester,awayteam_Liverpool,awayteam_Man City,awayteam_Man United,awayteam_Middlesbrough,awayteam_Newcastle,awayteam_Norwich,awayteam_QPR,awayteam_Reading,awayteam_Sheffield United,awayteam_Southampton,awayteam_Stoke,awayteam_Sunderland,awayteam_Swansea,awayteam_Tottenham,awayteam_Watford,awayteam_West Brom,awayteam_West Ham,awayteam_Wigan,awayteam_Wolves
2007,19.0,6.0,8.0,2.0,10.0,19.0,7.0,8.0,1.0,1.0,1.53,4.33,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2008,21.0,11.0,7.0,3.0,17.0,5.0,8.0,0.0,1.0,1.0,2.1,3.5,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,13.0,13.0,2.0,3.0,8.0,9.0,8.0,3.0,1.0,2.0,2.25,3.5,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010,12.0,25.0,4.0,5.0,11.0,8.0,7.0,7.0,5.0,3.0,2.1,3.6,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,6.0,19.0,2.0,4.0,14.0,14.0,0.0,5.0,1.0,3.0,1.95,3.6,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,20.0,14.0,7.0,7.0,12.0,10.0,7.0,6.0,0.0,3.0,2.38,3.3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,9.0,20.0,2.0,10.0,11.0,15.0,7.0,3.0,1.0,1.0,2.2,3.4,3.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,10.0,13.0,5.0,1.0,13.0,12.0,2.0,4.0,2.0,1.0,2.62,3.5,2.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,15.0,10.0,8.0,4.0,14.0,13.0,9.0,6.0,3.0,3.0,2.63,3.25,2.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016,15.0,5.0,5.0,1.0,6.0,13.0,2.0,6.0,1.0,1.0,1.91,3.7,4.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,16.0,10.0,1.0,2.0,9.0,8.0,8.0,10.0,0.0,2.0,2.1,3.5,3.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018,7.0,13.0,2.0,7.0,15.0,12.0,4.0,10.0,3.0,2.0,2.63,3.4,2.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,23.0,12.0,11.0,2.0,15.0,15.0,16.0,7.0,1.0,2.0,2.0,3.3,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020,20.0,9.0,5.0,6.0,9.0,9.0,4.0,2.0,1.0,4.0,2.87,3.2,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021,13.0,6.0,7.0,3.0,8.0,9.0,5.0,4.0,1.0,2.0,1.75,3.7,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022,20.0,4.0,9.0,0.0,8.0,10.0,5.0,1.0,4.0,1.0,2.1,3.5,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,9.0,9.0,5.0,7.0,10.0,8.0,8.0,3.0,0.0,1.0,2.25,3.2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2024,8.0,22.0,3.0,4.0,4.0,8.0,5.0,4.0,2.0,1.0,3.1,3.6,2.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025,14.0,7.0,12.0,4.0,17.0,10.0,11.0,4.0,2.0,1.0,2.25,3.5,3.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2026,17.0,11.0,5.0,4.0,15.0,11.0,5.0,5.0,1.0,4.0,3.3,3.2,2.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2027,20.0,8.0,5.0,6.0,11.0,14.0,7.0,4.0,2.0,2.0,2.75,3.25,2.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
